attribute,IG_manual_bits
PPERSAUT,0.02411327063801466
PBRAND,0.017016313518174675
APERSAUT,0.017015111366003033
MOSHOOFD,0.010969412972420434
MINKGEM,0.00939221115428951
MKOOPKLA,0.00875629669206579
MINKM30,0.007133877723624837
MOPLLAAG,0.006831164233656373
PWAPART,0.006747971947769438
MAUT0,0.006147858325649569
AWAPART,0.005880051124325381
MHHUUR,0.0058723926584536845
MHKOOP,0.0058099597998091945
MSKA,0.005703326710120471
MOPLHOOG,0.0051803347071329164
MAUT1,0.005004381154666948
MINK4575,0.004851469551506671
MOSTYPE,0.004495750501343154
PPLEZIER,0.0044644143913196155
MRELGE,0.004403065917262916
ABRAND,0.004345507621150824
MRELOV,0.004094660202578926
MBERHOOG,0.004038144610563843
MSKC,0.003965423638379428
APLEZIER,0.003956964182443956
MBERARBG,0.0038777631096795218
MSKD,0.0038439120994710474
MINK7512,0.003294356935594045
MZFONDS,0.003225118294608864
MZPART,0.0030691580471601254
MBERARBO,0.0030550465515335468
MBERBOER,0.0030388209772398422
MBERMIDD,0.0028176111062305775
MGODPR,0.0027176665101582564
MGODGE,0.0026618466803072782
MFALLEEN,0.0025870964022050025
PBROM,0.002368869330813095
PBYSTAND,0.002315439926424412
MSKB1,0.0022583654577618684
ABYSTAND,0.002250549080407449
MOPLMIDD,0.00220138673393544
ABROM,0.0019836140438384
MFWEKIND,0.0015812407664169137
ALEVEN,0.001503210117008602
MGODOV,0.0014978297648831629
PMOTSCO,0.0014376535954119252
PLEVEN,0.0014045086203082757
MRELSA,0.0013805581447979831
MGODRK,0.0013256735409071796
MGEMOMV,0.001287692808422225
PGEZONG,9.673032037385565e-4
MAANTHUI,7.972822836822546e-4
MFGEKIND,7.919611356045908e-4
AFIETS,7.801400362903443e-4
MINK3045,7.340288912277004e-4
PTRACTOR,7.284545643483908e-4
MINK123M,6.790463509994682e-4
PWAOREG,6.621294230046981e-4
AWAOREG,6.621294230046981e-4
PWABEDR,6.388420483108281e-4
MSKB2,6.301586559177563e-4
PINBOED,5.999660354398251e-4
AGEZONG,5.755822438245906e-4
MGEMLEEF,5.673619228074855e-4
MBERZELF,5.314337561094784e-4
PFIETS,4.984648715378737e-4
PWALAND,4.8063226407202286e-4
PAANHANG,4.541045367901231e-4
AWALAND,4.1160626065328554e-4
PZEILPL,3.853797907857337e-4
PWERKT,3.21331121116597e-4
AWERKT,3.21331121116597e-4
ATRACTOR,3.141665178542641e-4
AAANHANG,2.844362116243282e-4
AZEILPL,2.557185915134097e-4
AINBOED,2.4317635335247e-4
PPERSONG,1.995478158958175e-4
PBESAUT,1.9937857001994796e-4
MAUT2,1.8439895630795178e-4
PVRAAUT,1.3756670189146725e-4
AVRAAUT,1.3756670189146725e-4
ABESAUT,1.313643772350992e-4
AMOTSCO,1.0457249204209873e-4
APERSONG,6.186557112908275e-5
AWABEDR,1.595247471719574e-5
