attribute,MI_bits
APERSAUT,0.011555021667236431
PPERSAUT,0.011523680810695325
PBRAND,0.008218342893230535
MINKGEM,0.005524736660494689
MKOOPKLA,0.005103769907653266
PWAPART,0.004677337730091935
MINKM30,0.004573460902664195
MOPLLAAG,0.004394635426407056
MOSHOOFD,0.004388741220592962
AWAPART,0.004075740858375809
MAUT0,0.003761375227941066
MOPLHOOG,0.003577577938886023
MHHUUR,0.00351935754739241
MHKOOP,0.003333430187365316
MINK4575,0.003126745518565066
MOSTYPE,0.0031162167845062427
ABRAND,0.00289077812001981
MAUT1,0.002768463598639137
PPLEZIER,0.0027343275958742197
APLEZIER,0.0027343275958742197
MRELOV,0.002715602061486244
MSKA,0.0026181737673596217
MSKD,0.002397782493858358
MRELGE,0.0021956425241471678
MSKC,0.002112454672937858
MINK7512,0.001955205238619584
MZFONDS,0.0018287488296735432
MBERARBO,0.0018169345964871297
MBERHOOG,0.0017817641444120014
MBERARBG,0.0017774195051831754
MZPART,0.001748386033252558
MBERBOER,0.0017034389426733298
PBYSTAND,0.0015224220183167603
ABYSTAND,0.0015224220183167603
MFALLEEN,0.0014319465754448757
MBERMIDD,0.0013696631926016778
PBROM,0.0013249619664730261
ABROM,0.0013249619664730261
MGODOV,9.648192258362442e-4
MGODPR,9.376477264853023e-4
MGODGE,8.572442342416053e-4
MSKB1,8.29494923637597e-4
MOPLMIDD,7.696350827970377e-4
MRELSA,6.224790189577334e-4
MFWEKIND,5.4293514915571e-4
MGEMOMV,5.335231595386958e-4
PGEZONG,3.989632094878459e-4
AGEZONG,3.989632094878459e-4
MBERZELF,3.4610799019585414e-4
PFIETS,3.4550952031686677e-4
AFIETS,3.4550952031686677e-4
PWAOREG,3.1322336350925184e-4
AWAOREG,3.1322336350925184e-4
PWALAND,2.8530371907287133e-4
AWALAND,2.8530371907287133e-4
MGODRK,2.7468194949786806e-4
MINK3045,2.549332215444622e-4
PWERKT,2.2272976062964744e-4
AWERKT,2.2272976062964744e-4
PZEILPL,1.7725062072493358e-4
AZEILPL,1.7725062072493358e-4
PTRACTOR,1.6018134348350088e-4
ATRACTOR,1.6018134348350088e-4
PLEVEN,1.5203988790091216e-4
ALEVEN,1.5203988790091216e-4
PINBOED,1.4808393916432294e-4
AINBOED,1.4808393916432294e-4
PVRAAUT,9.535397155602254e-5
AVRAAUT,9.535397155602254e-5
PAANHANG,9.217065820621428e-5
AAANHANG,9.217065820621428e-5
MAUT2,7.52955972940228e-5
PMOTSCO,5.036135620706261e-5
AMOTSCO,5.036135620706261e-5
MSKB2,4.9103341782874566e-5
PPERSONG,4.28819462037211e-5
APERSONG,4.28819462037211e-5
MINK123M,2.9270668813197176e-5
MFGEKIND,2.879236211228431e-5
PBESAUT,2.6946261286298068e-5
ABESAUT,2.6946261286298068e-5
MGEMLEEF,1.809133242769434e-5
PWABEDR,1.82605896625887e-7
AWABEDR,1.82605896625887e-7
MAANTHUI,9.245779430955281e-8
